# ============================================================================
# GPLOT Model Info Table (Python format)
#
# Column 1: Model ID (ATCF TECH code)
# Column 2: Display label (shown in plot legends)
# Column 3: matplotlib marker string
#           ('o','s','^','v','<','>','*','D','d','p','h','8','P','X','+','x','.')
# Column 4: matplotlib color value. May be any of:
#             - A CSS4/X11 named color (e.g. 'blue', 'darkgoldenrod')
#             - An xkcd color with the 'xkcd:' prefix (e.g. 'xkcd:deep pink')
#             - A hex value (e.g. '#8B0A50')
#             - A grayscale float string in [0,1] (e.g. '0.25')
# Column 5: Long name (optional)
#
# Fields are separated by commas.  Lines starting with '#' are comments.
# This file supersedes ModelInfo.dat (which uses NCL marker indices and
# NCL-only X11 color names).  Python modules prefer this file when present.
# ============================================================================

# OPERATIONAL MODELS #
EE01,                 EE01: EPS(01),  .,                           0.01,   EC Ensemble Prediction System (01)
EE02,                 EE02: EPS(02),  .,                           0.02,   EC Ensemble Prediction System (02)
EE03,                 EE03: EPS(03),  .,                           0.03,   EC Ensemble Prediction System (03)
EE04,                 EE04: EPS(04),  .,                           0.04,   EC Ensemble Prediction System (04)
EE05,                 EE05: EPS(05),  .,                           0.05,   EC Ensemble Prediction System (05)
EE06,                 EE06: EPS(06),  .,                           0.06,   EC Ensemble Prediction System (06)
EE07,                 EE07: EPS(07),  .,                           0.07,   EC Ensemble Prediction System (07)
EE08,                 EE08: EPS(08),  .,                           0.08,   EC Ensemble Prediction System (08)
EE09,                 EE09: EPS(09),  .,                           0.09,   EC Ensemble Prediction System (09)
EE10,                 EE10: EPS(10),  .,                           0.10,   EC Ensemble Prediction System (10)
EE11,                 EE11: EPS(11),  .,                           0.11,   EC Ensemble Prediction System (11)
EE12,                 EE12: EPS(12),  .,                           0.12,   EC Ensemble Prediction System (12)
EE13,                 EE13: EPS(13),  .,                           0.13,   EC Ensemble Prediction System (13)
EE14,                 EE14: EPS(14),  .,                           0.14,   EC Ensemble Prediction System (14)
EE15,                 EE15: EPS(15),  .,                           0.15,   EC Ensemble Prediction System (15)
EE16,                 EE16: EPS(16),  .,                           0.16,   EC Ensemble Prediction System (16)
EE17,                 EE17: EPS(17),  .,                           0.17,   EC Ensemble Prediction System (17)
EE18,                 EE18: EPS(18),  .,                           0.18,   EC Ensemble Prediction System (18)
EE19,                 EE19: EPS(19),  .,                           0.19,   EC Ensemble Prediction System (19)
EE20,                 EE20: EPS(20),  .,                           0.20,   EC Ensemble Prediction System (20)
EE21,                 EE21: EPS(21),  .,                           0.21,   EC Ensemble Prediction System (21)
EE22,                 EE22: EPS(22),  .,                           0.22,   EC Ensemble Prediction System (22)
EE23,                 EE23: EPS(23),  .,                           0.23,   EC Ensemble Prediction System (23)
EE24,                 EE24: EPS(24),  .,                           0.24,   EC Ensemble Prediction System (24)
EE25,                 EE25: EPS(25),  .,                           0.25,   EC Ensemble Prediction System (25)
EE26,                 EE26: EPS(26),  .,                           0.26,   EC Ensemble Prediction System (26)
EE27,                 EE27: EPS(27),  .,                           0.27,   EC Ensemble Prediction System (27)
EE28,                 EE28: EPS(28),  .,                           0.28,   EC Ensemble Prediction System (28)
EE29,                 EE29: EPS(29),  .,                           0.29,   EC Ensemble Prediction System (29)
EE30,                 EE30: EPS(30),  .,                           0.30,   EC Ensemble Prediction System (30)
EE31,                 EE31: EPS(31),  .,                           0.31,   EC Ensemble Prediction System (31)
EE32,                 EE32: EPS(32),  .,                           0.32,   EC Ensemble Prediction System (32)
EE33,                 EE33: EPS(33),  .,                           0.33,   EC Ensemble Prediction System (33)
EE34,                 EE34: EPS(34),  .,                           0.34,   EC Ensemble Prediction System (34)
EE35,                 EE35: EPS(35),  .,                           0.35,   EC Ensemble Prediction System (35)
EE36,                 EE36: EPS(36),  .,                           0.36,   EC Ensemble Prediction System (36)
EE37,                 EE37: EPS(37),  .,                           0.37,   EC Ensemble Prediction System (37)
EE38,                 EE38: EPS(38),  .,                           0.38,   EC Ensemble Prediction System (38)
EE39,                 EE39: EPS(39),  .,                           0.39,   EC Ensemble Prediction System (39)
EE40,                 EE40: EPS(40),  .,                           0.40,   EC Ensemble Prediction System (40)
EE41,                 EE41: EPS(41),  .,                           0.41,   EC Ensemble Prediction System (41)
EE42,                 EE42: EPS(42),  .,                           0.42,   EC Ensemble Prediction System (42)
EE43,                 EE43: EPS(43),  .,                           0.43,   EC Ensemble Prediction System (43)
EE44,                 EE44: EPS(44),  .,                           0.44,   EC Ensemble Prediction System (44)
EE45,                 EE45: EPS(45),  .,                           0.45,   EC Ensemble Prediction System (45)
EE46,                 EE46: EPS(46),  .,                           0.46,   EC Ensemble Prediction System (46)
EE47,                 EE47: EPS(47),  .,                           0.47,   EC Ensemble Prediction System (47)
EE48,                 EE48: EPS(48),  .,                           0.48,   EC Ensemble Prediction System (48)
